code,name,level
42.99.22.100,"Работы строительные по строительству конструкций и плоскостных сооружений стадионов и прочих площадок для спортивных игр на открытом воздухе, таких как футбол, бейсбол, регби, легкая атлетика, автомобильные гонки, велосипедные гонки и скачки; парковых территорий и парковых сооружений для отдыха, кроме работ по сохранению и воссозданию объектов культурного наследия",4
42.99.22.110,"Работы строительные по строительству конструкций и плоскостных сооружений стадионов и прочих площадок для спортивных игр на открытом воздухе, таких как футбол, бейсбол, регби, легкая атлетика, автомобильные гонки, велосипедные гонки и скачки",4
42.99.22.120,"Работы строительные по строительству объектов для отдыха, таких как площадок для игры в гольф, пляжных сооружений, горных убежищ, парковых территорий и парковых сооружений для отдыха",4
42.99.22.200,"Работы по сохранению и воссозданию конструкций и плоскостных сооружений стадионов и прочих площадок для спортивных игр на открытом воздухе, таких как футбол, бейсбол, регби, легкая атлетика, автомобильные гонки, велосипедные гонки и скачки; парковых территорий и парковых сооружений для отдыха, являющихся объектами культурного наследия",4
42.99.22.210,"Работы по сохранению и воссозданию плоскостных сооружений стадионов, площадок для спортивных игр на открытом воздухе, являющихся объектами культурного наследия",4
42.99.22.220,"Работы по сохранению и воссозданию объектов ландшафтной архитектуры и садово-паркового искусства, являющихся объектами культурного наследия",4
42.99.29,"Работы строительные по строительству гражданских сооружений, не включенные в другие группировки",3
42.99.29.100,"Работы строительные по строительству гражданских сооружений, не включенные в другие группировки, кроме работ по сохранению и воссозданию объектов культурного наследия",4
42.99.29.200,"Работы по сохранению и воссозданию гражданских сооружений, являющихся объектами культурного наследия, не включенные в другие группировки",4
43,Работы строительные специализированные,1
43.1,Работы по сносу зданий и сооружений и по подготовке строительного участка,2
43.11,Работы по сносу зданий и сооружений,2
43.11.1,Работы по сносу зданий и сооружений,3
43.11.10,Работы по сносу зданий и сооружений,3
43.11.10.000,Работы по сносу зданий и сооружений,4
43.12,Работы по подготовке строительной площадки,2
43.12.1,Работы по подготовке строительной площадки,3
43.12.11,Работы земляные; работы по расчистке территории,3
43.12.11.110,Работы по подготовке сельскохозяйственных земель,4
43.12.11.120,"Работы по подготовке строительного участка для последующих строительных работ, включая буровзрывные работы и работы по удалению скальных пород",4
43.12.11.130,"Работы по подготовке участка для горных работ: работы по удалению вскрыши и прочие работы по разработке и подготовке месторождений полезных ископаемых и участков, включая прокладку тоннелей, кроме услуг, связанных с добычей нефти и газа",4
43.12.11.140,"Работы по расчистке территории, удалению растительности",4
43.12.11.150,Работы по закреплению (стабилизации) грунтов,4
